Province/State,Country,Last Update,Confirmed,Suspected
Shanghai,China,1/21/20 0:00,9,10
Yunnan,China,1/21/20 0:00,1,
Beijing,China,1/21/20 0:00,10,
Taiwan,China,1/21/20 0:00,1,
Jilin,China,1/21/20 0:00,,1
Sichuan,China,1/21/20 0:00,2,1
Tianjin,China,1/21/20 0:00,2,
Ningxia,China,1/21/20 0:00,,1
Anhui,China,1/21/20 0:00,,3
Shandong,China,1/21/20 0:00,1,
Guangdong,China,1/21/20 0:00,17,4
Guangxi,China,1/21/20 0:00,,1
Jiangxi,China,1/21/20 0:00,2,
Henan,China,1/21/20 0:00,1,
Zhejiang,China,1/21/20 0:00,5,16
Hainan,China,1/21/20 0:00,,1
Hubei,China,1/21/20 0:00,270,11
Hunan,China,1/21/20 0:00,1,
Guizhou,China,1/21/20 0:00,,1
Liaoning,China,1/21/20 0:00,,1
Chongqing,China,1/21/20 0:00,5,
Hong Kong,China,1/21/20 0:00,,117
Heilongjiang,China,1/21/20 0:00,,1
,Japan,1/21/20 0:00,1,
,Thailand,1/21/20 0:00,2,
,South Korea,1/21/20 0:00,1,
Washington,United States,1/21/20 0:00,1,
