Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-09T14:33:03Z,67743,3008,46488,30.9756,112.2707
NA,Italy,2020-03-09T18:13:11Z,9172,463,724,43,12
NA,South Korea,2020-03-09T09:03:03Z,7478,53,118,36,128
NA,Iran,2020-03-09T10:53:03Z,7161,237,2394,32,53
Guangdong,Mainland China,2020-03-09T01:43:01Z,1352,8,1260,23.3417,113.4244
Henan,Mainland China,2020-03-08T05:03:02Z,1272,22,1247,33.882,113.614
Zhejiang,Mainland China,2020-03-09T09:43:03Z,1215,1,1176,29.1832,120.0934
NA,France,2020-03-09T00:43:03Z,1209,19,12,47,2
NA,Germany,2020-03-09T18:13:11Z,1176,2,18,51,9
NA,Spain,2020-03-09T18:13:11Z,1073,28,32,40,-4
Hunan,Mainland China,2020-03-09T01:33:06Z,1018,4,979,27.6104,111.7088
Anhui,Mainland China,2020-03-08T05:13:06Z,990,6,984,31.8257,117.2264
Jiangxi,Mainland China,2020-03-09T01:53:01Z,935,1,923,27.614,115.7221
Shandong,Mainland China,2020-03-09T10:13:06Z,758,6,700,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-06T01:29:39Z,696,6,40,35.4437,139.638
Jiangsu,Mainland China,2020-03-09T08:53:03Z,631,0,621,32.9711,119.455
Chongqing,Mainland China,2020-03-09T23:13:03Z,576,6,542,30.0572,107.874
Sichuan,Mainland China,2020-03-09T08:53:03Z,539,3,466,30.6171,102.7103
NA,Japan,2020-03-09T09:13:17Z,511,17,76,36,138
Heilongjiang,Mainland China,2020-03-09T14:33:03Z,481,13,430,47.862,127.7615
Beijing,Mainland China,2020-03-09T01:53:01Z,428,8,315,40.1824,116.4142
NA,Switzerland,2020-03-09T11:33:10Z,374,2,3,46.8182,8.2275
Shanghai,Mainland China,2020-03-09T04:03:11Z,342,3,315,31.202,121.4491
NA,Netherlands,2020-03-09T18:13:11Z,321,3,0,52.1326,5.2913
NA,UK,2020-03-09T18:33:03Z,321,4,18,55,-3
Hebei,Mainland China,2020-03-07T13:03:05Z,318,6,307,38.0428,114.5149
Fujian,Mainland China,2020-03-07T13:03:05Z,296,1,295,26.0789,117.9874
Guangxi,Mainland China,2020-03-09T00:23:09Z,252,2,230,23.8298,108.7881
NA,Sweden,2020-03-09T18:33:03Z,248,0,1,63,16
Shaanxi,Mainland China,2020-03-08T14:43:03Z,245,1,227,35.1917,108.8701
NA,Belgium,2020-03-09T10:43:05Z,239,0,1,50.8333,4
NA,Norway,2020-03-09T18:33:03Z,205,0,1,60.472,8.4689
Yunnan,Mainland China,2020-03-06T03:23:06Z,174,2,170,24.974,101.487
Hainan,Mainland China,2020-03-08T04:33:02Z,168,6,159,19.1959,109.7453
NA,Singapore,2020-03-08T13:33:13Z,150,0,78,1.2833,103.8333
Guizhou,Mainland China,2020-03-09T01:13:05Z,146,2,123,26.8154,106.8748
Tianjin,Mainland China,2020-03-09T10:13:06Z,136,3,130,39.3054,117.323
Shanxi,Mainland China,2020-03-09T11:43:02Z,133,0,127,37.5777,112.2922
NA,Austria,2020-03-09T18:33:03Z,131,0,2,47.5162,14.5501
Liaoning,Mainland China,2020-03-08T05:13:06Z,125,1,109,41.2956,122.6085
Gansu,Mainland China,2020-03-09T14:33:03Z,124,2,88,36.0611,103.8343
NA,Malaysia,2020-03-09T09:43:03Z,117,0,24,2.5,112.5
Hong Kong,Hong Kong,2020-03-09T10:03:17Z,115,3,59,22.3,114.2
"Westchester County, NY",US,2020-03-09T17:13:16Z,98,0,0,41.122,-73.7949
NA,Bahrain,2020-03-09T10:03:17Z,95,0,14,26.0275,50.55
Jilin,Mainland China,2020-03-09T14:33:03Z,93,1,91,43.6661,126.1923
NA,Denmark,2020-03-09T18:13:11Z,90,0,1,56.2639,9.5018
"King County, WA",US,2020-03-08T20:23:09Z,83,17,1,47.548,-121.9836
Xinjiang,Mainland China,2020-03-08T05:33:02Z,76,3,73,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-08T05:13:06Z,75,1,70,44.0935,113.9448
Ningxia,Mainland China,2020-03-06T12:53:03Z,75,0,71,37.2692,106.1655
NA,Greece,2020-03-08T17:23:07Z,73,0,0,39.0742,21.8243
NA,Kuwait,2020-03-08T15:33:04Z,64,0,1,29.5,47.75
NA,Iraq,2020-03-09T23:33:02Z,60,6,9,33,44
NA,Iceland,2020-03-09T10:03:17Z,58,0,0,64.9631,-19.0208
NA,Egypt,2020-03-09T10:03:17Z,55,1,12,26,30
NA,Thailand,2020-03-07T10:13:23Z,50,1,31,15,101
New South Wales,Australia,2020-03-09T18:53:13Z,48,3,4,-33.8688,151.2093
Taiwan,Taiwan,2020-03-09T00:33:14Z,45,1,15,23.7,121
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03Z,45,0,0,35.4437,139.638
NA,United Arab Emirates,2020-03-07T10:13:22Z,45,0,7,24,54
NA,India,2020-03-09T09:13:17Z,43,0,3,21,78
NA,Israel,2020-03-08T21:03:03Z,39,0,2,31,35
"Santa Clara County, CA",US,2020-03-08T21:23:03Z,38,0,1,37.3541,-121.9552
