"","prov","TAVG","area","popper10k","PerCapitaDisposibleIncome","PassengerTraffic.in10000.","BedsInHealthcareInst","popdensity","PRCP","distHubei"
"1","Anhui",38.08,140305.648289531,6324,23983.58,63347,32.81,450.730250499251,3.35,480.711652434023
"2","Beijing",30.1,16405.4073538941,2154,62361.22,58935,12.36,1312.98172214463,0,1088.1611398507
"3","Chongqing",42.65,82439.0579313954,3102,26385.84,60587,22.01,376.277953416382,0.886666666666667,433.820851301175
"4","Fujian",53.725,122121.159462209,3941,32643.93,48105,19.25,322.712297963366,4.755,779.37348226351
"5","Gansu",24.3615384615385,405183.887824663,2637,17488.39,42185,16.27,65.0815612179801,0.06,1287.88221082705
"6","Guangdong",58.6571428571429,177831.311862872,11346,35809.9,142144,51.69,638.020373417087,3.89333333333333,854.221140630722
"7","Guangxi",55.1444444444444,236557.618718853,4926,21485.03,47931,25.59,208.236793499959,1.88266666666667,863.651932719361
"8","Guizhou",40.05,175979.637877239,3600,18430.18,93025,24.56,204.569121940762,0.741428571428571,699.488653203782
"9","Hainan",67.3,34061.3518121007,934,24579.04,14383,4.48,274.211078043058,1.625,1329.45063115649
"10","Hebei",29.0666666666667,187581.885536041,7556,23445.65,47346,42.19,402.810750004335,0.006,1013.32578735464
"11","Heilongjiang",3,454833.871052314,3773,22725.85,31568,25.01,82.9533647366829,0.192380952380952,2290.78817204096
"12","Henan",36.96,165534.881885572,9605,21963.54,110421,60.85,580.240242454734,0.096,346.229596430113
"13","Hubei",41.475,186016.814880547,5917,25814.54,98350,39.35,318.08952345516,0.666,0
"14","Hunan",41.5,212082.761964566,6899,25240.75,106680,48.24,325.297536494393,2.87545454545455,377.374664755277
"15","Jiangsu",36.125,101698.981904337,8051,38095.79,120612,49.15,791.65000959136,1.42,714.279247381994
"16","Jiangxi",44.62,167002.34800254,4648,24079.68,60686,24.95,278.319440151184,5.774,501.296523792559
"17","Jilin",11.625,191009.579039455,2704,22798.37,31956,16.7,141.563580926036,0.275,1867.2371265571
"18","Liaoning",20.1571428571429,145809.2414339,4359,29701.45,71343,31.44,298.952244530815,0.191428571428571,1473.45027350556
"19","Nei Mongol",7.816,1146475.67387004,2534,28375.65,13268,15.9,22.1025186818507,0.302916666666667,1462.27125782916
"20","Ningxia Hui",23.65,51860.0879683908,688,22400.42,6137,4.1,132.664641914866,0,896.563655718252
"21","Qinghai",19.85,715709.729979601,603,20757.26,6443,3.91,8.42520332952839,0.218333333333333,1601.29568608768
"22","Shaanxi",32.6,205897.626978895,3864,22528.26,71583,25.37,187.666077394669,0.02,565.264688315953
"23","Shandong",33.05,155507.710579712,10047,29204.61,67443,60.85,646.077288550269,0.0466666666666667,807.814621290949
"24","Shanghai",40.3,6883.76288507617,2424,64182.65,15845,13.9,3521.32988957997,4.55,876.550527150826
"25","Shanxi",29.2166666666667,156467.14763212,3718,21990.14,23837,20.83,237.621766374985,0.004,732.116016254987
"26","Sichuan",45.315,483835.20087885,8341,22460.55,98569,59.89,172.393409674393,0.35,915.465493998099
"27","Tianjin",30.4,11698.8677591546,1560,39506.15,17450,6.82,1333.46237611693,0,1032.93378201804
"28","Xinjiang Uygur",23.1515151515152,1629441.81402185,2487,21500.24,21204,17.89,15.2628954197603,0.227222222222222,2671.02564703093
"29","Xizang",29.375,1130161.17799176,344,17286.06,1399,1.68,3.04381363206328,0,2293.89423270275
"30","Yunnan",57.9521739130435,383069.27793179,4830,20084.19,41484,29.12,126.086853690732,0.114444444444444,1250.67703179324
"31","Zhejiang",43.275,102787.87369548,5737,45839.84,98380,33.21,558.139768217844,5.73166666666667,779.566846957103
